‾	ۇستىڭگى سىزىق
🛃	كەدەن تەكسەرىسى
🛄	بەرۋ, جولجۇك, جولجۇكتى بەرۋ
🛅	جولجۇك, جۇك, ساقتاۋ كامەراسى, كىلتەۋ
⚠️	قاۋىپ, قاۋىپتى, ەسكەرتۋ
🚸	بالا, بالالار كەسىپ وتەدى, جاياۋ جۇرگىنشى, جول قوزعالىسى, وتەتىن
⛔️	تىيىم سالىنعان, جوق, جول جوق, جول قوزعالىسى, رۇقسات ەتىلمەگەن, كىرىس, ەمەس
🚫	تىيىم سالىنعان, جوق, كىرىس, ەمەس
🚳	بايك, بەلسەبەت, بەلسەبەت تەبۋگە بولمايدى, تىيىم سالىنعان, جوق, رۇقسات ەتىلمەگەن
🚭️	تىيىم سالىنعان, تەمەكى, تەمەكى شەگۋ, جوق, رۇقسات ەتىلمەگەن, شىلىم شەگۋگە بولمايدى, ەمەس
🚯	تىيىم سالىنعان, جوق, رۇقسات ەتىلمەگەن, قوقىس, قوقىس تاستاۋعا تىيىم سالىنعان, ەمەس
🚱	تىيىم سالىنعان, رۇقسات ەتىلمەگەن, سۋ, ىشۋگە بولمايدى, ىشۋگە جارامايدى, ىشەتىن سۋ ەمەس
🚷	تىيىم سالىنعان, جاياۋ جۇرگىنشى, جاياۋ جۇرگىنشىلەرگە تىيىم سالىنعان, جوق, رۇقسات ەتىلمەگەن, ەمەس
📵	تەلەفون, جوق, رۇقسات ەتىلمەگەن, ۇيالى, ۇيالى تەلەفونداردى پايدالانۋعا بولمايدى
🔞	18, 18 جاستان كىشىلەرگە تىيىم سالىنعان, تىيىم سالىنعان, جاس شەكتەۋى, جاسى جەتپەيدى, ون سەگىز, ون سەگىز جاستان كىشىلەرگە تىيىم سالىنعان
☢️	بەلگى, تاڭبا, راديواكتيۆتى, راديواكتيۆتى ايماق
☣️	بيولوگيالىق, بيولوگيالىق قاۋىپ, بەلگى, تاڭبا, قاۋىپ
⬆️	باعىت, جوعارى باعىتتى كورسەتكى, جوعارى قاراعان كورسەتكى, جوعارى كورسەتكىشى, سولتۇستىك, كورسەتكى, كورسەتكىش, نەگىزگى
↗️	باعىت, جوعارعى وڭ جاق كورسەتكىسى, جوعارعى وڭ جاق كورسەتكىشى, رۋمبا ارالىق, سولتۇستىك-شىعىس, كورسەتكى, كورسەتكىش
➡️	باعىت, شىعىس, كورسەتكى, كورسەتكىش, نەگىزگى, وڭ جاق باعىتتى كورسەتكى, وڭ جاق كورسەتكىشى
↘️	باعىت, تومەنگى وڭ جاق كورسەتكىسى, تومەنگى وڭ جاق كورسەتكىشى, رۋمبا ارالىق, كورسەتكى, كورسەتكىش, وڭتۇستىك-شىعىس
⬇️	باعىت, تومەن, تومەن باعىتتى كورسەتكى, تومەن قاراعان كورسەتكى, تومەن كورسەتكىشى, كورسەتكى, كورسەتكىش, نەگىزگى, وڭتۇستىك
↙️	باعىت, تومەنگى سول جاق كورسەتكىسى, تومەنگى سول جاق كورسەتكىشى, رۋمبا ارالىق, كورسەتكى, كورسەتكىش, وڭتۇستىك-باتىس
⬅️	باتىس, باعىت, سول جاق باعىتتى كورسەتكى, سول جاق كورسەتكىشى, كورسەتكى, كورسەتكىش, نەگىزگى
↖️	باعىت, جوعارعى سول جاق كورسەتكىسى, جوعارعى سول جاق كورسەتكىشى, رۋمبا ارالىق, سولتۇستىك-باتىس, كورسەتكى, كورسەتكىش
↕️	جوعارى-تومەن كورسەتكىسى, جوعارى-تومەن كورسەتكىشى, كورسەتكى, كورسەتكىش
↔️	سول-وڭ كورسەتكىسى, سول-وڭ كورسەتكىشى, كورسەتكى, كورسەتكىش
↮	سول جانە وڭ جاق كورسەتكىسى بار شتريح
↩️	سول جاققا بۇرىلاتىن كورسەتكى, كورسەتكى, كورسەتكىش, وڭ جاقتان شىعىپ, وڭ جاقتان شىعىپ، سول جاققا بۇرىلاتىن كورسەتكى
↪️	سول جاقتان شىعىپ, سول جاقتان شىعىپ، وڭ جاققا بۇرىلاتىن كورسەتكى, كورسەتكى, كورسەتكىش, وڭ جاققا بۇرىلاتىن كورسەتكى
⤴️	جوعارىعا بۇرىلاتىن كورسەتكى, كورسەتكى, كورسەتكىش, وڭ جاقتان شىعىپ, وڭ جاقتان شىعىپ، جوعارىعا بۇرىلاتىن كورسەتكى
⤵️	تومەن, تومەنگە بۇرىلاتىن كورسەتكى, كورسەتكى, كورسەتكىش, وڭ جاقتان شىعىپ, وڭ جاقتان شىعىپ، تومەنگە بۇرىلاتىن كورسەتكى
🔃	جاڭارتۋ, ساعات ءتىلى بويىنشا, ساعات ءتىلى بويىنشا تىك كورسەتكىشتەر, ساعات ءتىلى بويىنشا تىك كورسەتكىلەر, قايتا جۇكتەۋ, كورسەتكى, كورسەتكىش
🔄	ساعات تىلىنە قاراما-قارسى, ساعات تىلىنە قاراما-قارسى كورسەتكىلەر تۇيمەسى, كورسەتكى, كورسەتكىش, كۇننىڭ باعىتىنا قاراما-قارسى
🔙	«ارتقا» كورسەتكىسى, «ارتقا» كورسەتكىشى, ارتقا, كورسەتكى, كورسەتكىش
🔚	«سوڭى» كورسەتكىسى, «سوڭى» كورسەتكىشى, سوڭىنا, كورسەتكى, كورسەتكىش
🔛	«قوسۋلى» كورسەتكىسى, «قوسۋلى» كورسەتكىشى, بەلگى, قوسۋلى, كورسەتكى, كورسەتكىش
🔜	«جاقىندا» كورسەتكىسى, «جاقىندا» كورسەتكىشى, جاقىندا, كورسەتكى, كورسەتكىش
🔝	«جوعارى» كورسەتكىشى, «نەگىزگى» كورسەتكىسى, جوعارى, كورسەتكى, ۇستىنە
🛐	ءدىن, تابىنۋ, تابىنۋ ورنى
⚛️	اتوم, اتوم بەلگىسى, اتەيزم, اتەيست
🕉️	ءدىن, حيندۋ, وم بەلگىسى, يندۋيزم
✡️	ءداۋىد, ءداۋىد جۇلدىزى, ءدىن, جۇلدىز, يۆريت, يۆريتتىك, يۋدايزم
☸️	ءدىن, بۋدديزم, بۋدديست, دحارما, دحارما دوڭگەلەگى, دوڭگەلەك
☯️	ءدىن, تاو, تاويست, داو, داوسيزم, يان, ين, ين-يان بەلگىسى
✝️	ءدىن, حريستيان, كىرەس, لاتىنشا كىرەس
☦️	ءدىن, حريستيان, كىرەس, ورتودوكسالدىق كىرەس
☪️	ءدىن, جۇلدىز بەن جارىم اي, مۇسىلمان, يسلام
☮️	بەيبىتشىلىك, تىنىشتىق, تىنىشتىق بەلگىسى
🕎	ءدىن, شامدال, كاندەليابر, مەنورا, يۋدايزم
🔯	ءدىن, جۇلدىز, ساتتىلىك, نۇكتەلى التى بۇرىشتى جۇلدىز, يۋدايزم
🪯	ءدىن, دەگ تەگ فاتەح, سيكح, سيكحيزم, سەنىم, كحالسا, كحاندا
♈️	توقتى, توقتى بەلگىسى, زودياك
♉️	بۇقا, تورپاق, تورپاق بەلگىسى, زودياك, وگىز
♊️	زودياك, ەگىزدەر, ەگىزدەر بەلگىسى
♋️	زودياك, شايان, شايان بەلگىسى
♌️	ارىستان, ارىستان بەلگىسى, زودياك
♍️	بيكەش, بيكەش بەلگىسى, زودياك, قىز
♎️	تارازى, تارازى بەلگىسى, تەپەتەڭدىك, زودياك, سوت
♏️	زودياك, سارىشايان, سارىشايان بەلگىسى
♐️	زودياك, ساداقشى, مەرگەن, مەرگەن بەلگىسى
♑️	تاۋەشكى, تاۋەشكى بەلگىسى, زودياك, ەشكى
♒️	زودياك, سۋ, سۋقۇيعىش بەلگىسى, قۇيۋشى
♓️	بالىق, بالىقتار, بالىقتار بەلگىسى, زودياك
⛎️	جىلان, جىلان كوتەرۋشى, جىلان كوتەرۋشى بەلگىسى, زودياك, قۇيۋشى
🔀	ايقاسقان, كورسەتكى, كورسەتكىش, كەزدەيسوق ترەكتەر تۇيمەسى
🔁	ساعات ءتىلى بويىنشا, قايتالاۋ, قايتالاۋ تۇيمەسى, كورسەتكى, كورسەتكىش
🔂	ءبىر ترەكتى قايتالاۋ تۇيمەسى, ءبىر رەت, ساعات ءتىلى بويىنشا, كورسەتكى, كورسەتكىش
▶	ءۇشبۇرىش, كورسەتكى, كورسەتكىش, ويناتۋ, ويناتۋ تۇيمەسى, وڭ
⏩	العا, العا جىلدام وتكىزۋ تۇيمەسى, جىلدام, قوس, كورسەتكى, كورسەتكىش
⏭	ءۇشبۇرىش, كورسەتكى, كورسەتكىش, كەلەسى ترەك, كەلەسى ترەك تۇيمەسى, كەلەسى كورىنىس
⏯	ءۇشبۇرىش, كورسەتكى, كورسەتكىش, كىدىرتۋ, ويناتۋ, ويناتۋ نە كىدىرتۋ تۇيمەسى, وڭ
◀	ءۇشبۇرىش, سول, كورسەتكى, كورسەتكىش, كەرى, كەرى قايتارۋ تۇيمەسى
⏪	ارتقا, ارتقا جىلدام قايتارۋ تۇيمەسى, ارتقا قايتارۋ, ارتقى قايتارۋ, قوس, كورسەتكى, كورسەتكىش
⏮	ءۇشبۇرىش, الدىڭعى ترەك, الدىڭعى كورىنىس, سوڭعى ترەك تۇيمەسى, كورسەتكى, كورسەتكىش
🔼	تۇيمە, جوعارى, جوعارى تۇيمەسى, قىزىل, كورسەتكى, كورسەتكىش
⏫	جوعارى, جوعارىعا جىلدام وتكىزۋ تۇيمەسى, قوس, كورسەتكى, كورسەتكىش
🔽	تومەن, تومەن تۇيمەسى, تۇيمە, قىزىل, كورسەتكى, كورسەتكىش
⏬	تومەن, تومەنگە, تومەنگە جىلدام وتكىزۋ تۇيمەسى, قوس, كورسەتكى, كورسەتكىش
⏸️	تىك, جولاق, قوس, كىدىرتۋ, كىدىرتۋ تۇيمەسى, پاۋزا
⏹️	توقتاتۋ, توقتاتۋ تۇيمەسى, شارشى
⏺️	جازىپ الۋ, جازىپ الۋ تۇيمەسۋ, جازۋ, دوڭگەلەك, شەڭبەر
⏏️	شىعارىپ الۋ, شىعارىپ الۋ تۇيمەسى
🎦	ءفيلىم, بەينە, كامەرا, كينو, ۆيدەو
🔅	اشىقتىق, تومەن, كۇڭگىرت, كۇڭگىرتتەۋ تۇيمەسى
🔆	اشىق, اشىقتىق, جارىقتاندىرۋ تۇيمەسى
📶	ءموبيلدى, انتەننا, انتەننا تاياقشالارى, تەلەفون, جولاق, ۇيالى
🛜	wifi, بايلانىس, جەلى, روۋتەر, سمارتفون, سىمسىز, سىمسىز جەلى, عالامتور, كومپيۋتەر, كەڭجولاقتى, ينتەرنەت
📳	ءموبيلدى, تەلەفون, دىرىلدەۋ, دىرىلدەۋ رەجيمى, رەجيم, ۇيالى
📴	ءوشىرۋ, تەلەفون, ۇيالى, ۇيالى تەلەفوندى ءوشىرۋ
♀️	ايەل, ايەل تاڭباسى, تاڭبا
♂️	تاڭبا, ەر, ەر تاڭباسى
⚧️	ترانسگەندەر, ترانسگەندەرلىك تاڭبا
✖️	x, ×, باس تارتۋ, بەلگى, جۋان كوبەيتۋ x, كوبەيتىندى, كوبەيتۋ
➕️	+, امال, بەلگى, جۋان قوسۋ بەلگىسى, قوسۋ, ماتەماتيكا, پليۋس
➖️	-, الۋ, امال, بەلگى, جۋان الۋ بەلگىسى, قالىڭ الۋ بەلگىسى, ماتەماتيكا, مينۋس, −
➗️	÷, ءبولۋ, امال, بەلگى, جۋان ءبولۋ بەلگىسى, ماتەماتيكا
🟰	تەڭ, تەڭدىك, تەڭدىك بەلگىسى, ماتەماتيكا
♾️	امبەباپ, شەكسىز, شەكسىزدىك, ماڭگى
‼️	!, بانگبانگ, بەلگى, قوس لەپ بەلگىسى, لەپ بەلگىسى, پۋنكتۋاتسيا
⁉️	!؟, بەلگى, سۇراق, لەپ بەلگىسى, لەپ جانە سۇراق بەلگىسى, پۋنكتۋاتسيا
❓️	؟, بەلگى, سۇراق, سۇراق بەلگىسى, قىزىل سۇراق بەلگىسى, پۋنكتۋاتسيا
❔️	؟, اق سۇراق بەلگىسى, بەلگى, سىزۋلى, سۇراق, پۋنكتۋاتسيا
❕️	!, اق لەپ بەلگىسى, بەلگى, سىزۋلى, لەپ بەلگىسى, پۋنكتۋاتسيا
❗️	!, بەلگى, لەپ بەلگىسى, پۋنكتۋاتسيا
〰️	سىزىقشا, يرەك, يرەك سىزىقشا, پۋنكتۋاتسيا
💱	اقشا, ايىرباستاۋ, بانك, ۆاليۋتا, ۆاليۋتا ايىرباستاۋ
💲	اقشا, دوللار, قالىڭ دوللار بەلگىسى, ۆاليۋتا
⚕️	تاڭبا, جىلان, مەديتسينا, مەديتسينا تاڭباسى, مەديسينا تاڭباسى
♻️	قايتا وڭدەۋ, قايتا وڭدەۋ بەلگىسى, ەكولوگيا
⚜	تاڭبا, فرانتسۋز ليلياسى, ليليا
🔱	ءۇش اشالى, ءۇش اشالى ايىر بەلگىسى, زاكىر, قۇرال, كەمە, نىشان
📛	ات بەيجيگى, اتى, بەيجيك
🔰	باستاۋشىلارعا ارنالعان جاپون بەلگىسى, باستاۋىش, جاپون, جاپىراق, شەۆرون
⭕️	o, دوڭگەلەك, شەڭبەر, قالىڭ, قالىڭ، ۇلكەن شەڭبەر, قىزىل, ۇلكەن شەڭبەر
✅️	اق, اق، قالىڭ قۇسبەلگى, بەلگى, دايىن, داۋىس بەرۋ, قالىڭ قۇسبەلگى, قۇسبەلگى
☑️	دايىن, داۋىس بەرۋ, قۇسبەلگى, قۇسبەلگىسى بار داۋىس بەرۋ شارشىسى, ورىن
✔️	بەلگى, دايىن, داۋىس بەرۋ, قالىڭ قۇسبەلگى, قۇسبەلگى
❌️	x, باس تارتۋ, بەلگى, قيىلىسقان سىزىقتار بەلگىسى, كوبەيتۋ
❎️	x, بەلگى, شارشى, قيىلىسقان سىزىقتار تۇيمەسى, كوبەيتۋ
➰️	اينالىم, اينالۋ, ىلمەك
➿️	اينالىم, اينالۋ, قوس, قوس ىلمەك, ىلمەك
〽️	بولىك, بولىكتىڭ وزگەرۋ بەلگىسى, بەلگى
✳️	جۇلدىزشا, سەگىز بۇرىشتى جۇلدىز
✴️	جۇلدىز, سەگىز قىرلى جۇلدىز
❇️	*, ۇشقىن
©️	اۆتورلىق, اۆتورلىق قۇقىق بەلگىسى, بەلگى, قۇقىق
®️	بەلگى, تىركەلگەن, تىركەلگەن ساۋدا بەلگىسى, ساۋدا
™️	tm, بەلگى, ساۋدا بەلگىسى
🫟	بوياۋ, توگىلۋ, داق, شاشىراۋ
#⃣	پەرنە, پەرنە: #
*⃣	پەرنە, پەرنە: *
0⃣	پەرنە, پەرنە: 0
1⃣	پەرنە, پەرنە: 1
2⃣	پەرنە, پەرنە: 2
3⃣	پەرنە, پەرنە: 3
4⃣	پەرنە, پەرنە: 4
5⃣	پەرنە, پەرنە: 5
6⃣	پەرنە, پەرنە: 6
7⃣	پەرنە, پەرنە: 7
8⃣	پەرنە, پەرنە: 8
9⃣	پەرنە, پەرنە: 9
🔟	پەرنە, پەرنە: 10
🔠	abcd, ارىپتەر, باس ءارىپ, لاتىن, ۇلكەن لاتىن ارىپتەرىن ەنگىزۋ, ەنگىزۋ
🔡	abcd, ارىپتەر, كىشى ءارىپ, كىشى ارىپتەر, كىشى لاتىن ارىپتەرىن ەنگىزۋ, لاتىن, ەنگىزۋ
🔢	1234, سان, ساندار, سانداردى ەنگىزۋ, ەنگىزۋ
🔣	بەلگىلەر, بەلگىلەردى ەنگىزۋ, ەنگىزۋ
🔤	abc, ارىپتەر, الىپپە, لاتىن, لاتىن ارىپتەرىن ەنگىزۋ, ەنگىزۋ
🅰️	a, a تۇيمەسى (قىزىل ءتۇستى), قىزىل ءتۇستى
🆎	ab, ab تۇيمەسى (قىزىل ءتۇستى), قىزىل ءتۇستى
🅱️	b, b تۇيمەسى (قىزىل ءتۇستى), قىزىل ءتۇستى
🆑	cl, cl تۇيمەسى
🆒	cool, cool تۇيمەسى
🆓	free, free تۇيمەسى, بوس
ℹ️	i, اقپارات, اقپارات كوزى
🆔	id, id تۇيمەسى, ايقىندىق, قۇجات
Ⓜ️	m, دوڭگەلەك, شەڭبەر, شەڭبەردەگى m
🆕	new تۇيمەسى, جاڭا
🆖	ng, ng تۇيمەسى
🅾️	o, o تۇيمەسى (قىزىل ءتۇستى), قىزىل ءتۇستى
🆗	ok, ok تۇيمەسى
🅿️	p تۇيمەسى, تۇراق
🆘	sos, sos تۇيمەسى, كومەك
🆙	!up تۇيمەسى, up تۇيمەسى, بەلگى, جوعارى
🆚	vs, vs تۇيمەسى, قاراما-قارسى, قارسى
🈁	جاپون, شارشىداعى «كاتاكانا كوكو»
🈂️	جاپون, شارشىداعى «كاتاكانا سا», يەروگليف
🈷	شارشىداعى «اي» تاڭباسى
🈶	تەگىن ەمەس, جاپون, شارشىداعى «بولمىس» يەروگليفى, شارشىداعى «تەگىن ەمەس» يەروگليفى, يەروگليف
🈯	جاپون, ساقتالدى, شارشىداعى «ساقتالدى» يەروگليفى, شارشىداعى «ساۋساق» يەروگليفى, يەروگليف
🉐	ارتىقشىلىق, جاپون, دوڭعالاقتاعى «ارتىقشىلىق» يەروگليفى, يەروگليف
🈹	ءبولۋ, جاپون, شارشىداعى «ءبولۋ» يەروگليفى, يەروگليف
🈚	تەگىن, جاپون, شارشىداعى «باس تارتۋ» يەروگليفى, شارشىداعى «تەگىن» يەروگليفى, يەروگليف
🈲	تىيىم سالۋ, جاپون, شارشىداعى «تىيىم سالۋ» يەروگليفى, يەروگليف
