‾	forlíne
🦇	ainmhí, bás dorcha, feascarluch, ialtóg, leadhbán leathair, leadhbóg leathair, leidhbín leathair, sciathán leathair, vaimpír
🐻	aghaidh, aghaidh béair, ainmhí, béar, béar liath, glam, gnúsacht, mil, yosemite, éadan
🐻‍❄	béar bán
🐨	ainmhí, béar, cóála
🐼	aghaidh, aghaidh panda, panda
🦥	leisciúil, mall, spadán
🦦	iascaireacht, madra uisce, súgrach
🦨	boladh, bolladh, scúnc
🦘	An Astráil, cangarú, cangarú óg, léim, marsúipiach
🦡	broc, broc meala
🐾	ainmhí, cosa, lapa, lorg, lorg lapaí
🦃	Lá an Altaithe, Nollaig, cearc Fhrancach, gogal gogal, turcaí, éan
🐔	ainmhí, cearc, sicín, éan
🐓	ainmhithe, ainmhí, coileach, éan, éanlaithe
🐣	ag teacht as an ubh, ainmhí, naíonán, éan, éan ag teacht as an ubh, éinín
🐤	ainmhí, gearrshicín, sicín, éan, éinín
🐥	ainmhí, gearrshicín éadain, leanbh, sicín, éan, éinín, óg
🐦️	ainmhí, éan, éaneolaíocht
🐧	ainmhí, piongain, éan
🕊️	colm, eitilt, síocháin, éan
🦅	ainmhí, iolar, éan
🦆	ainmhí, lacha, éan
🦢	ainmhí, eala, lachín ghránna, Éinín gránna lachan, éan
🦉	ainmhí, críonna, stuama, ulchabhán, éan
🦤	Oileán Mhuirís, dódó, mór, éag, éan
🪶	cleite, clúmh, eitilt, peann cleite, uirlis, éadrom, éan
🦩	lasairéan, péacach, trópaiceach
🦚	bródúil, cearc phéacóige, mórtasach, mórthaibhseach, péacóg, sotalach, thar fóir, éan
🦜	ainmhí, caint, foghlaí, foghlaí mara, pearóid, peata, éan
🪽	ainglí, eitilt, eitlíocht, miotaseolaíocht, sciathán, éan
🐦‍⬛	dubh, fitheach, lon dubh, préachán, roc, éan
🪿	amaideach, gé, honk, éan
🐦‍🔥	athbheochan, athbhreith, athchruthaigh, athionchollú, athmhuscailt, bladhmsóg, fantaisíocht, feinics, glóir, neamhbhásmhar, onóir
🐸	aghaidh, aghaidh froig, frog, loscann
🐊	Arlene Foster, ainmhí, crogall
🐢	ainmhí, tiripín, toirtís, turtar
🦎	ainmhí, earc luachra, reiptíl
🐍	Ophiuchus, ainmhí, nathair, nathair nimhe, sealbhóir, stoidiaca
🐲	aghaidh, aghaidh dragain, ainmhí, dragan, finscéal
🐉	ainmhí, dragan, finscéal, síneach
🦕	brachiosaurus, brontasár, dineasár, diplodocus, sárapód
🦖	T-Rex, Tyrannosaurus, Tyrannosaurus Rex, tyrannosaurus rex
🐳	aghaidh, ainmhí, míol mór, míol mór ag séideadh, séideadh
🐋	aigéan, ainmhí, míol mór, trá
🐬	aigéan, ainmhí, deilf, lapa, trá
🦭	ainmhí, mór-rón, rón
🐟️	Na hÉisc, ainmhí, iasc, stoidiaca
🐠	ainmhí, iasc, iasc teochreasa, teochriosach, éisc
🐡	ainmhí, iasc, iasc torcánach
🦈	ainmhí, craosaire, iasc, siorc
🐙	ainmhí, ochtapas
🐚	ainmhí, bís, sligeán, sliogán, trá
🪸	aigéan, an t-athrú aeráide, coiréal, farraige, sceir
🪼	dó, ga, inveirteabrach, muirí, ouch, smugairle, smugairle róin
🐌	faocha sheilide, seilide
🦋	feithid, féileacán, gleoite
🐛	ainmhí, feithid, gairdín, míol
🐜	ainmhí, feithid, seangán
🐝	beach, beach mheala, feithid
🪲	ainmhí, ciaróg, feithid, míol
🐞	ainmhí, bóín, bóín dé, ciaróg, feithid
🦗	criogar, criogar féir, dorsán, dreoilín teaspaigh, feithid, míol, píobaire fraoigh
🪳	blatóg choiteann, ciaróg dhubh, feithid, lotnaid, séchosach
🕷️	ainmhí, damhán alla, feithid
🕸️	damhán alla, gréasán, líon damháin alla, líon damhán alla, líontán, líontán damhán alla
🦂	An Scairp, Scorpius, scairp, stoidiaca
🦟	feithid, fiabhras, galar, maláire, muiscít, víreas
🪰	cuileog, feithid, lotnaid
🪱	cuiteog, feithid, péist, péist talún, seadán
🦠	aiméibe, baictéir, eolaíocht, miocrób, víreas
💐	bláth, breithlá, comóradh, crobhaing bláthanna, grá
🌸	bláth, bláth silíní, earrach, planda, silín
💮	bláth, bláth bán
🪷	Búdachas, Hiondúchas, India, Vítneam, bláth, loiteog, suaimhneas, síocháin, áilleacht
🏵️	planda, róiséad
🌹	bláth, dearg, grá, rós
🥀	bláth, bláth sleabhctha, sleabhctha
🌺	bláth, planda, roiseog
🌻	bláth, lus na gréine, planda, taobh amuigh
🌼	bláth, bláthú, caisearbhán, cam an ime, planda
🌷	bláth, planda, tiúilip
🪻	bluebonnet, bláth, hiasaint, labhandar, lupine, srubh lao
🌱	planda, síolphlanda, óg
🪴	cothú, fás, fásra, glasra, leadránach, planda pota
🌲	coill, crann, crann giúise, crann na nollag, crann síorghlas, giúis, péine, síorghlas
🌳	caitheamh, caitheamh an duilliúir, coill, crann duillsilteach, duillsilteach, foraois, glas, gnáthóg
🌴	crann, pailm, planda, teochriosach, trá
🌵	cachtas, cactas, dúlra, fáslach, gaineamhlach, planda, triomach
🌾	dias, grán, planda, punann ríse, rís
🌿	duille, duilleog, luibh, planda
☘️	planda, seamróg, Éireannach
🍀	4, ceithre, duilleog, planda, rath, seamair, seamair Mhuire, séan, ádh, ádhúil, ámharach, éireannach
🍁	duille, duilleog, duilleog mhailpe, mailp, titim
🍂	duilleog, duilleog thite, fómhar, titim
🍃	duilleog, duilleog ag séideadh sa ghaoth, duilleog sa ghaoth, gaoth, séideadh
🪹	craobh, nead, nead fholamh, neadú
🪺	nead, nead le huibheacha, neadú, ubh, uibheacha, éan
🍄	beacán, beacán bearaigh, fungas, fás aon oíche, mario, púca peill
🪾	crann lom, geimhreadh, seasc, triomach
🍇	caor fhíniúna, caor fíniúna, caora fíniúna, fíonchaor, fíonchaora, toradh
🍈	mealbhacán, toradh
🍉	mealbhacán uisce, toradh
🍊	oráiste, toradh, táinséirín
🍋	citreas, géar, líomóid, toradh
🍋‍🟩	citris, géire, líoma, manglam, margarita, mojito, salsa, sú, tequila, torthaí, trópaiceach
🍌	banana, bananna, toradh
🍍	anann, toradh
🥭	mangó, torthaí, trópaiceach
🍎	aibí, aiste bia, bia, dearg, sláinte, toradh, úll, úll dearg
🍏	bia, glas, toradh, úll, úll glas
🍐	piorra, toradh
🍑	péitseog, toradh
🍒	silín, silíní, toradh
🍓	caor, sú talún, toradh
🫐	bia, caora, deoch, fraochán, sméara, toradh, triopall
🥝	bia, ciobhaí, cíobhaí, kiwi, toradh
🍅	bia, glasra, toradh, tráta
🫒	bia, crann olóige, duilleog olóige, ológ
🥥	cnó cócó, pailm, piña colada
🥑	abhacád, bia, toradh
🍆	glasra, ubhthoradh
🥔	bia, fata, fataí, glasra, práta, prátaí
🥕	bia, glasra, meacan, meacan dearg
🌽	arbhar, arbhar Indiach, cathair ghríbháin, dias, dias arbhair
🌶️	piobar, píobar, píobar te, spiasrach, te
🫑	bia, capsicum, glasra, piobar
🥒	bia, cularán, cúcamar, gircín, glasra
🥬	bok choy, cabáiste, cál, glasra, glasra duilleach, leitís
🥦	brocailí, cabáiste fiáin
🧄	blasóir, gairleog
🧅	blasóir, oiniún, oinniún
🥜	bia, cnó, glasra, pis talún
🫘	bia, pónairí
🌰	almóinn, cnó capaill, planda
🫚	beoir, fréamh, sinséar fréimhe, spíosra
🫛	edamame, faighneog, faighneog pise, faighneog piseanna, glasra, léagúm, pis, pónairí
🍄‍🟫	barráin, beacán, beacán donn, bia, fungas, glasraí, muisiriún, nádúr, portobello, strufal, síotaicé, veigeatórach
🫜	biatas, fréamh, gairdín, glasra, glasra fréimhe, tornapa
🍞	arán, bia, bialann, builín aráin
🥐	Francach, arán, bia, corrán, croissant, francach, fuineadh, rollóg chorránach
🥖	Francach, arán, baguette, bia
🫓	arán, arán leathan, bia, lavash, naan, pita
🥨	casta, preatsal
🥯	arán, bácús, béigeal, schmear
🥞	bia, crêpe, císte te, pancóg, pancóga
🧇	bricfeasta, iarann, iarn, neamhchinnte, vaifeal
🧀	cáis, ding cháise, mír cháise
🍖	cnámh, feoil, feoil ar an gcnámh, feoil ar chnámh, feoil le cnámh
🍗	cnámh, cos, cos sicín, sicín, turcaí, éineoil
🥩	gearradh feola, gríscín, gríscín muiceola, gríscín uaineola, stéig
🥓	bagún, bia, feoil
🍔	ag ithe, bia, bia gasta, burgaire, burgar, ith, ocras
🍟	bia, sceallóga
🍕	Iodálach, bia, bialann, cáis, ocras, pepperoni, pizza, píotsa, slisín
🌭	brocaire, brocaire te, francfurtar, ispín
🥪	arán, ceapaire
🌮	meicsiceach, meisiceach, taco
🌯	burrito, fillteog, meicsiceach
🫔	Meicsiceach, fillteog, tamale
🥙	arán leathan stuáilte, bia, ceibeab, falafel, fillteog, kebab, tortilla
🧆	falafel, millín feola, sicphiseánach
🥚	bia, ubh
🍳	bialann, bricfeasta, cócaireacht, friochadh, friochta, friochtán, ubh
🥘	bia, friochtán, paella, panna tanaí le bia, pota, stiobhach
🍲	bia, pota, pota le bia, stobhach
🫕	Eilvéiseach, bia, cáis, fondú, leáite, pota, seacláid
🥣	babhla le spúnóg, bricfeasta, gránach, leite
🥗	bia, glas, glasraí, sailéad
🍿	gráin róstach, grán rósta, scannán
🧈	déiríocht, im
🧂	blastán, croiteoir, salainn, salann
🥫	bia, bia stánaithe, canna, cannaí, stán
🍱	bento, bia, bosca, bosca bento, bosca lóin
🍘	bia, craicear, craicear ríse
🍙	Seapánach, bia, liathróid ríse, rís
🍚	bia, rís, rís bhruite, rís chócaráilte, rís cócaráilte
🍛	bia, curaí, curaí agus rís, rís
🍜	babhla, babhla núdal, bia, gal, núdail, ramen, te
🍝	bia, bialann, pasta, spaigití
🍠	bia, fata, ionam, práta, práta milis, rósta
🍢	bia, bia mara, bia mara ar chipín
🍣	bia, sushi
🍤	cloicheán, ribe róibéis, séacla, séacla friochta
🍥	bia, bialann, cáca éisc, cáca éisc le guairneán, císte, iasc
🥮	cáca gealaí, féile, fómhar, yuèbǐng
🍡	Seapánach, bata, dango, liathróidí mocci, liathróidí mocci ar chipín, milis, milseog, mochi
🥟	bia, domplagán, empanada, gyōza, jiaozi, pierogi, potsticker
🥠	brioscán feasa, tairngreacht, táirngreacht
🥡	bia, bosca beir leat, bosca greim gasta, coimeádán bia, oisre
🦀	An Portán, Cancer, portán, stoidiaca
🦞	bia mara, bísc, crúba, gliomach
🦐	beag, bia, ribe róibéis, sliogiasc
🦑	bia, moileasc, scuid
🦪	oisre, péarla, tumadóireacht, tumadóireacth
🍦	bia, bialann, cón uachtair reoite, iarbhéile, milis, milseog, scroid, uachtar, uachtar reoite, uachtar reoite bog, uachtar reoite coipthe
🍧	bearrtha, bialann, milis, milseog, oighear, oighear bearrtha, reoite
🍨	milis, milseog, reoite, uachtar, uachtar reoite
🍩	bricfeasta, milis, milseog, taoschnó
🍪	briosca, briosca sceallaí seacláide, cisteog, milis, milseog
🎂	breithlá, ceiliúradh, cáca breithe, císte, cóisir, lá breithe, lá breithe sona, milseog
🍰	brioscarán, cáca, císte, iarbhéile, milis, milseog, mír, slisín, taosrán
🧁	bacús, bonnóg, borróg, bácús, císte, cístín cupa, milis, milseog, milseán, siúcra
🥧	líonadh, pióg, taosrán, toradh
🍫	barra, barra seacláide, milis, milseán, oíche Shamhna, seacláid
🍬	bialann, milseog, milseán, oíche shamhna
🍭	bia, bialann, líreacán, milseán
🍮	custard, milis, milseog
🍯	bia, mil, pota meala, próca meala
🍼	bainne, buidéal, buidéal babaí, deoch
🥛	bainne, deoch, gloine, gloine bainne, gloinne
☕️	ag galú, caife, deoch, deoch the, tae, te, ól
🫖	deoch, fliuchtar tae, pota, tae, taephota
🍵	caife, cupán, cupán gan chluas, deoch, tae
🍶	bialann, buidéal agus cupán sake, buidéal sake, cupán, deoch, sake, sáicí
🍾	ag popáil, beár, buidéal, buidéal le corc ag popáil, corc, deoch
🍷	deoch, fíon, gloine, gloine fíona, teach tábhairne
🍸️	007, alcól, club, deoch, deochlann, gloine, gloine mhanglaim, james bond, mad men, manglam, martini, teach tábhairne, ól
🍹	ar meisce, deoch, deoch thrópaiceach, puins, teach tábhairne
🍺	Deutschland, alcól, an ghearmáin, beoir, coirm, deochanna, gloine, gloine beorach, gloine bheorach, leann, oktoberfest, pionta beorach, stein, teach tábhairne, ól
🍻	deochanna, gloiní beorach, teach tábhairne
🥂	champagne, deoch, deochanna, gligleáil, gloine, gloiní, gloiní a ghligleáil, sláinte
🥃	deoch, fuisce, gloine, uisce beatha
🫗	doirteadh, leacht a dhoirteadh, uisce, úps
🥤	cupán le sop, deoch, deoch shóide, sú, uisce
🧋	coinlín óil, deoch, tae bolgán
🧃	bosca, bosca dí, deoch, milis, sop, sú
🧉	comrádaí, deoch, maité
🧊	ciúb oighir, cnoc oighir, fuar, oighear
🥢	Seapáinis, cipín itheacháin, cipíní itheacháin
🍽️	ag cócaireacht, forc, forc agus scian le pláta, pláta, scian
🍴	bia, bialann, blasta, bricfeasta, béile, dinnéar, forc, ocras, sceana, scian, scian agus forc
🥄	ith, sceanra, spúnóg, tae
🔪	arm, cócaireacht, scian, uirlis
🫙	crúsca, folamh, próca
🏺	Aquarius, amfara, crúiscín, crúisín, crúsca, cócaireacht, deoch, uirlis
🌍	Eoraip, an Afraic, an Eoraip, an chruinne, an domhan, cruinneog, cruinneog ag taispeáint na hEorpa agus na hAfraice
🌎️	Meiriceá, an domhan, cruinneog, cruinneog ag taispeáint Chríocha Mheiriceá
🌏	An Astráil, An Áise, an Astráil, an domhan, an Áis, cruinneog, cruinneog ag taispeáint na hÁsie agus na hAstráile
🌐	an domhan, an gréasán domhanda, cruinneog, cruinneog le fadlínte, domhan, gréasán, idirlíon
🗺️	an domhan, domhan, léarscáil, léarscáil an domhain
🗾	an tSeapáin, léarscáil, léarscáil na Seapáine, mapa
🧭	adhmainteach, compás, loingseoireacht, maighnéadach, treo, treodóireacht
🏔️	beann, fuar, sliabh, sliabh faoi bhrat sneachta, sliabh le sneachta, sneachta
⛰️	cnoc, sliabh, sléibhte
🌋	bolcán, brúchtadh bolcáin, nádúr, sliabh
🗻	Sliabh Fuji, dúlra, fuji, nádúr, sliabh
🏕️	ag campáil, campáil
🏖️	cladach, cois fharraige, duirling, scáth, scáth gréine, trá, trá le scáth, trá le scáth gréine
🏜️	díthreabh, fásach, gaineamhlach
🏝️	fásach, oileán, oileán díthreibhe
🏞️	fearann, páirc, páirc náisiúnta
🏟️	Páirc an Chrócaigh, staid, staidiam
🏛️	clasaiceach, foirgneamh, foirgneamh clasaiceach
🏗️	crann tógála, foirgneamh, foirgníocht, tógáil
🧱	balla, bríce, brící, cré, falla, moirtéal, moirtéar, múr
🪨	carraig, cloch, daingean, geolaíocht, trom
🪵	adhmad, brosna, connadh, crann, lomán
🛖	baile, bothán, bothán dóibe, teach ceann tuí, teach cruinn, yurt
🏘️	foirgneamh, teach, tithe
🏚️	baile, foirgneamh, fothrach, fothrach tí, teach, teach tréigthe, tréigthe
🏠️	baile, bruachbhaile, foirgneamh, teach, tógáil
🏡	baile, bruachbhaile, foirgneamh, gairdín, teach, teach agus gairdín, teach le gairdín, teach le ghairdín
🏢	cathair, foirgneamh, foirgneamh oifigí, oifig, post
🏣	foirgneamh, oifig an phoist, oifig an phoist Seapánach, oifig an phoist de chuid na Seapáine, post
🏤	Eorpach, an post, foirgneamh, oifig an phoist, post
🏥	dochtúir, foirgneamh, leigheas, lia, míochaine, ospidéal, otharlann
🏦	banc, foirgneamh
🏨	foirgneamh, óstán
🏩	foirgneamh, grá, leaba, óstán, óstán grá
🏪	24, 24 uair an chloig, díolbhoth, foirgneamh, siopa, siopa áise, áisiúlacht
🏫	foirgneamh, foirgneamh scoile, scoil
🏬	foirgneamh, ranna, siopa, siopa ilrannach
🏭️	foirgneamh, monarcha
🏯	caisleán, caisleán Seápánach
🏰	caisleán, caisleán Eorpach, foirgneamh
💒	bainis, croí, grá, pósadh, séipéal
🗼	Tóiceo, Túr, Túr Thóiceo, tóiceo, túr, túr thóiceo
🗽	Dealbh na Saoirse, dealbh, nua eabhrac, saoirse
⛪️	Críostaí, creideamh, cros, foirgneamh, séipéal
🕌	creideamh, ioslam, mosc, moslamach
🛕	Hiondúch, hiondúch, teampall, teampall hiondúch
🕍	creideamh, giúdach, sionagóg, teampall
⛩️	creideamh, reiligiún, scrín, scrín Sinteochais, scrín sinteocha, shinto, sinteochas
🕋	Muslamach, creideamh, cába, ioslam, moslamach, reiligiún
⛲️	foinse uisce, fuarán, scairdeán, scardán
⛺️	campa, campáil, puball
🌁	ceo, ceomhar
🌃	oíche, oíche le réaltaí, réalta, réaltaí
🏙️	cathair, dreach cathrach, foirgneamh
🌄	fáinne an lae, grian, grian na maidine, maidin, sliabh, éirí na gréine, éirí na gréine ar shléibhte, éirí na gréine thar na sléibhte
🌅	grian, grian na maidine, nádúr, éirí na gréine
🌆	breacdhorcha, breacdhorchadas, cathair, dreach cathrach, dreach cathrach i dtitim na hoíche, foirgneamh
🌇	breacdhorcha, dul faoi na gréine, foirgneamh, foirgnimh
🌉	droichead, droichead istoíche, istoíche, oíche
♨️	ag galú, foinse the, foinsí, foinsí teo, te
🎠	capall, capall an roithleagáin ró, capall roithleagáin ró, roithleagán ró, siamsaíocht
🛝	sleamhnán, sleamhnán súgartha, súgradh
🎡	páirc siamsaíochta, roth, roth Ferris, roth mór, siamsaíochta
🎢	aonach, iarnród bíse, páirc siamsaíochta, rollchóstóir, siamsaíocht
💈	bearbóir, cuaille bearbóra, gruagaire, pol an bhearbóra, siopa an bhearbóra
🎪	puball, puball sorcais, sorcas
🚂	bóthar iarainn, cabús, feithicil, gal, gal-inneall, galinneall, iarnród, inneall, inneall traenach, scruinge, taisteal, traein, traenacha
🚃	bus tralaí, bóthar iarainn, carr, carr ráille, carráiste, carráiste iarnróid, feithicil, iarnród, iompar, iompar poiblí, leictreach, riancharr, taisteal, traein, tram
🚄	aibhléis, amtrak, ard-luas, feithicil, iarnród, luas, shinkansen, traein, traein ardluais
🚅	feithicil, shinkansen, shinkansen piléir, taisteal, traein, traein ardluais, traein philéir, traein philéir ardluais
🚆	bóthar iarainn, feithicil, iarnród, sroichte, tagtha, traein
🚇️	feithicil, meitreo, taisteal, traein faoi thalamh
🚈	aonráille, feithicil, iarnród, iarnród éadrom, éadrom. iarnród
🚉	bóthar iarainn, dart, iarnród, luas, stad na traenach, stáisiún, stáisiún traenach, traein
🚊	bus tralaí, feithicil, luas, riancharr, tram
🚝	aonráille, feithicil, traein
🚞	carr, carr cábla sléibhe, feithicil, iarnród, iarnród sléibhe, sliabh, turas
🚋	bus, bus tralaí, carr, carráiste tram, feithicil, luas, riancharr, tram
🚌	bus, bus buí, feithicil, ollcharbad, scoil
🚍️	ag teacht, bus, bus atá ag teacht, feithicil
🚎	bus, bus tralaí, feithicil, riancharr, tralaí
🚐	bus, feithicil, mionbhus, tiomáin
🚑️	feithicil, otharcharr, éigeandáil
🚒	dóiteán, feithicil, inneall, inneall dóiteáin, tine
🚓	5–0, carr, carr gardaí, carr patróil, feithicil, garda, gardaí, gluaisteán, póilín, póilíní
🚔️	carr gardaí, carr gardaí ag teacht, feithicil, gardaí, póilíní
🚕	carr, feithicil, gluaisteán, tacsaí, tiomáin
🚖	carranna, feithicil, gluaisteáin, tacsaí, tacsaí ag teacht
